query_length,text_length,k,edlib_matches,sassy_matches,max_edits,bench_iter,alphabet,profile,rc,edlib_ns,edlib_ns_plus_one,sassy_ns,sassy_ns_plus_one
20,100000,0,0,0,0,1000,Dna,dna,withoutrc,778863,-39281,48207,-1403
30,100000,0,0,0,0,1000,Dna,dna,withoutrc,780168,-55673,47172,-2552
50,100000,1,0,0,1,1000,Dna,dna,withoutrc,779680,-47601,49052,-2648
100,100000,1,0,0,1,1000,Dna,dna,withoutrc,766350,-74834,48171,-5012
200,100000,2,0,0,2,1000,Dna,dna,withoutrc,767358,-80963,57513,-10943
300,100000,3,0,0,3,1000,Dna,dna,withoutrc,769267,-90548,76919,-18318
500,100000,5,0,0,5,1000,Dna,dna,withoutrc,770969,-96183,81514,-41707
1000,100000,10,0,0,10,1000,Dna,dna,withoutrc,780599,-215902,106392,-141557
